Class                  Name             Firing Mode                     Fire Rate                             Caliber
1                         1               ADAR 2-15                           800                          5.56x45 mm
1                         1                  AK-101                           650                          5.56x45 mm
1                         1                  AK-102                           600                          5.56x45 mm
1                         1                  AK-103                           600                          7.62x39 mm
1                         1                  AK-104                           600                          7.62x39 mm
1                         1                  AK-105                           600                          5.56x39 mm
1                         1                   AK-74                           650                          5.56x39 mm
1                         1                  AK-74M                           650                          5.56x39 mm
1                         1                  AK-74N                           650                          5.56x39 mm
1                         1                     AKM                           600                          7.62x39 mm
1                         1                    AKMN                           600                          7.62x39 mm
1                         1                    AKMS                           600                          7.62x39 mm
1                         1                   AKMSN                           600                          7.62x39 mm
1                         1                  AKS-74                           650                          5.45x39 mm
1                         1                 AKS-74N                           650                          5.45x39 mm
1                         1                 AKS-74U                           650                          5.45x39 mm
1                         1                AKS-74UB                           650                          5.45x39 mm
1                         1                AKS-74UN                           650                          5.45x39 mm
1                         1                  ASh-12                           650                          12.7x55 mm
1                         1          DT MDR 5.56x45                           650                          5.56x45 mm
1                         1             DT MDR .308                           650                          7.62x51 mm
1                         1                HK 416A5                           850                          5.56x45 mm
1                         1     Kel-Tec RFB 7.62x51                           700                          7.62x51 mm
1                         1                    M4A1                           800                          5.56x45 mm
1                         1                   SA-58                           700                          7.62x51 mm
1                         1               TX-15 DML                           800                          5.56x45 mm
1                         1        Vepr AKM/VPO-209                           600                               0.366
1                         1         Vepr KM/VPO-136                           600                          7.62x39 mm
1                         2                  AS VAL                           900                             9x39 mm
1                         2                  OP-SKS                            40                          7.62x39 mm
1                         2                     SKS                            40                          7.62x39 mm
1                         2     Vepr Hunter/VPO-101                           600                          7.62x51 mm
1                         3                  RPK-16                           650                          5.45x39 mm
1                         4                     MP5                           800                             9x19 mm
1                         4                  MP5K-N                           900                             9x19 mm
1                         4                   MP7A1                           950                           4.6x30 mm
1                         4                   MP7A2                           950                           4.6x30 mm
1                         4                     MP9                           900                             9x19 mm
1                         4                   MP9-N                          1100                             9x19 mm
1                         4                     MPX                           850                             9x19 mm
1                         4                     P90                           900                           5.7x28 mm
1                         4      PP-19-01 Vityaz-SN                           700                             9x18 mm
1                         4             PP-9 "Klin"                          1000                             9x18 mm
1                         4            PP-91 "Kedr"                           900                             9x18 mm
1                         4       PP-91-01 "Kedr-B"                           900                             9x18 mm
1                         4                 PPSH-41                          1000                          7.62x25 mm
1                         4                 Saiga-9                           650                             9x19 mm
1                         5                   590A1                            30                            12x70 mm
1                         5                    M870                            30                            12x70 mm
1                         5                  MP-133                            30                            12x70 mm
1                         5                  MP-153                            40                            12x70 mm
1                         5                Saiga-12                            40                            12x70 mm
1                         5                 TOZ-106                            30                            20x70 mm
1                         5                  KS-23M                            30                            23x75 mm
1                         6                     M1A                           700                          7.62x51 mm
1                         6                   RSASS                           700                          7.62x51 mm
1                         6                   SR-25                           700                          7.62x51 mm
1                         6                    SVDS                           700                          7.62x54 mm
1                         6            VSS Vintorez                           900                             9x39 mm
1                         7                  DVL-10                            30                          7.62x51 mm
1                         7                    M700                            30                          7.62x51 mm
1                         7                   Mosin                            30                          7.62x54 mm
1                         7              Mosin Inf.                            30                          7.62x54 mm
1                         7                   SV-98                            30                          7.62x54 mm
1                         7                  T-5000                            30                          7.62x51 mm
1                         7                 VPO-215                            30                               0.366
1                         8                 FN GL40                            30                            40x46 mm
1                         9                     APB                           750                             9x18 mm
1                         9                     APS                           750                             9x18 mm
1                         9                  FN 5-7                            30                           5.7x28 mm
1                         9                 GLOCK17                            30                             9x19 mm
1                         9                GLOCK18C                          1200                             9x19 mm
1                         9                 M1911A1                            30                              .45 mm
1                         9                   M45A1                            30                              .45 mm
1                         9                    M9A3                            30                             9x19 mm
1                         9          MP-443 "Grach"                            30                             9x19 mm
1                         9                   P226R                            30                             9x19 mm
1                         9               PB pistol                            30                             9x18 mm
1                         9           PM (t) pistol                            30                             9x18 mm
1                         9               PM pistol                            30                             9x18 mm
1                         9           SR-1MP Gyurza                            30                             9x21 mm
1                         9               TT pistol                            30                          7.62x25 mm
1                         9        TT pistol (gold)                            30                          7.62x25 mm
